wT,wAT,wH,wP,wR,wTT,wWD,wWS
3771.078,23.4,67.7,1017.1,False,33.5,226,2.7
3831.078,23.4,65.1,1017.0,False,34.8,185,2.4
3891.081,23.3,65.1,1017.1,False,34.5,192,1.0
3951.078,23.4,66.2,1017.1,False,34.8,167,0.9
4011.071,23.4,64.7,1017.1,False,35.1,207,1.5
4071.106,23.6,64.1,1017.0,False,34.5,208,2.0
4131.114,23.8,63.1,1017.1,False,34.6,213,1.8
4191.073,23.8,63.1,1017.1,False,34.6,213,1.8
4251.084,23.9,61.9,1016.9,False,35.1,199,1.8
4311.084,23.9,62.2,1017.0,False,35.5,199,2.7
4371.063,23.8,62.2,1016.9,False,35.3,196,3.0
4431.086,23.7,62.5,1017.0,False,35.6,177,1.9
4491.073,23.6,63.8,1016.9,False,35.4,150,1.7
4551.11,23.6,64.5,1016.9,False,35.6,179,2.2
4611.094,23.7,64.3,1016.9,False,35.1,184,1.6
4671.114,23.9,63.3,1016.9,False,35.7,179,1.7
4731.099,24.0,62.9,1017.0,False,34.0,204,2.1
4791.112,23.9,62.7,1017.0,False,35.7,195,2.0
4851.112,23.9,63.0,1016.9,False,34.9,221,1.9
4911.115,23.9,63.0,1016.9,False,34.9,221,1.9
4971.124,24.0,61.8,1016.9,False,34.2,214,2.3
5031.109,24.1,62.3,1016.8,False,36.1,190,1.1
5091.127,24.1,61.4,1016.8,False,36.1,188,3.3
5151.11,24.2,60.3,1016.8,False,36.2,201,2.0
5211.122,24.3,61.7,1016.8,False,36.3,173,1.2
5271.114,24.5,61.8,1016.7,False,36.1,191,2.7
5331.106,24.3,62.6,1016.6,False,36.2,206,1.6
5391.127,24.4,60.9,1016.7,False,36.3,181,1.1
5451.13,24.5,59.1,1016.6,False,36.1,223,1.0
5511.126,24.5,59.6,1016.6,False,36.7,195,3.0
5571.125,24.4,59.2,1016.6,False,36.0,205,1.9
5631.136,24.4,59.6,1016.5,False,36.0,198,2.3
5691.142,24.5,59.4,1016.5,False,36.9,186,1.3
5751.153,24.7,59.7,1016.5,False,37.1,192,3.0
5811.18,24.7,59.4,1016.5,False,36.9,174,2.4
5871.19,24.7,58.4,1016.5,False,36.8,214,1.2
5931.213,24.7,58.1,1016.5,False,35.9,194,1.3
5991.214,24.8,57.1,1016.4,False,36.9,186,2.2
6051.22,24.8,56.3,1016.4,False,36.5,203,1.9
6111.218,24.9,57.0,1016.4,False,37.1,201,1.7
6171.22,24.9,57.0,1016.4,False,37.1,201,1.7
6231.233,25.0,55.1,1016.4,False,37.5,189,1.0
6291.247,25.1,53.1,1016.3,False,37.2,190,2.3
6351.271,25.1,52.4,1016.4,False,37.0,208,1.7
6411.274,25.2,51.9,1016.4,False,37.1,216,1.0
6471.246,25.3,53.5,1016.4,False,36.7,206,1.8
6531.247,25.3,54.4,1016.3,False,36.4,235,0.8
6591.262,25.3,54.4,1016.3,False,36.5,255,1.3
6651.256,25.4,54.6,1016.3,False,37.8,178,2.1
6711.258,25.4,55.0,1016.3,False,38.1,191,2.7
6771.274,25.3,56.0,1016.3,False,38.0,203,1.4
6831.266,25.2,55.5,1016.3,False,36.7,221,1.4
